rank,release,gross,theaters,total_gross,release_date,distributor,estimated,scraped_at
1,Inside Out 2,652980194,"4,440",652980194,Jun 14,Walt Disney Studios Motion Pictures,false,2025-12-13T12:16:56.182116
2,Deadpool & Wolverine,636745858,"4,330",636745858,Jul 26,Walt Disney Studios Motion Pictures,false,2025-12-13T12:16:56.182116
3,Wicked,432943285,"3,888",474983975,Nov 22,Universal Pictures,false,2025-12-13T12:16:56.182116
4,Moana 2,404017489,"4,200",460405297,Nov 27,Walt Disney Studios Motion Pictures,false,2025-12-13T12:16:56.182116
5,Despicable Me 4,361004205,"4,449",361004205,Jul 3,Universal Pictures,false,2025-12-13T12:16:56.182116
6,Beetlejuice Beetlejuice,294100435,"4,575",294100435,Sep 6,Warner Bros.,false,2025-12-13T12:16:56.182116
7,Dune: Part Two,282144358,"4,074",282144358,Mar 1,Warner Bros.,false,2025-12-13T12:16:56.182116
8,Twisters,267762265,"4,170",267762265,Jul 19,Universal Pictures,false,2025-12-13T12:16:56.182116
9,Godzilla x Kong: The New Empire,196350016,"3,948",196350016,Mar 29,Warner Bros.,false,2025-12-13T12:16:56.182116
10,Kung Fu Panda 4,193590620,"4,067",193590620,Mar 8,Universal Pictures,false,2025-12-13T12:16:56.182116
11,Bad Boys: Ride or Die,193573217,"3,885",193573217,Jun 7,Sony Pictures Releasing,false,2025-12-13T12:16:56.182116
12,Kingdom of the Planet of the Apes,171130165,"4,075",171130165,May 10,20th Century Studios,false,2025-12-13T12:16:56.182116
13,Gladiator II,164554921,"3,580",172438016,Nov 22,Paramount Pictures,false,2025-12-13T12:16:56.182116
14,Sonic the Hedgehog 3,151558894,"3,769",236115100,Dec 20,Paramount Pictures,false,2025-12-13T12:16:56.182116
15,It Ends with Us,148518266,"3,839",148518266,Aug 9,Sony Pictures Releasing,false,2025-12-13T12:16:56.182116
16,The Wild Robot,143190445,"3,997",143901945,Sep 27,Universal Pictures,false,2025-12-13T12:16:56.182116
17,Venom: The Last Dance,139733580,"4,131",139755882,Oct 25,Sony Pictures Releasing,false,2025-12-13T12:16:56.182116
18,A Quiet Place: Day One,138930553,"3,708",139051884,Jun 28,Paramount Pictures,false,2025-12-13T12:16:56.182116
19,Mufasa: The Lion King,128143945,"4,100",254567693,Dec 20,Walt Disney Studios Motion Pictures,false,2025-12-13T12:16:56.182116
20,Ghostbusters: Frozen Empire,113376590,"4,345",113376590,Mar 22,Sony Pictures Releasing,false,2025-12-13T12:16:56.182116
21,IF,111149917,"4,068",111375918,May 17,Paramount Pictures,false,2025-12-13T12:16:56.182116
22,Alien: Romulus,105313091,"3,915",105313091,Aug 16,20th Century Studios,false,2025-12-13T12:16:56.182116
23,Bob Marley: One Love,96893170,"3,597",96981216,Feb 14,Paramount Pictures,false,2025-12-13T12:16:56.182116
24,Red One,96805881,"4,032",97000759,Nov 15,Amazon MGM Studios,false,2025-12-13T12:16:56.182116
25,The Fall Guy,92900355,"4,008",92900355,May 3,Universal Pictures,false,2025-12-13T12:16:56.182116
26,The Garfield Movie,91956547,"4,108",91956547,May 24,Sony Pictures Releasing,false,2025-12-13T12:16:56.182116
27,Wonka,85272410,"4,213",218402312,Dec 15,Warner Bros.,false,2025-12-13T12:16:56.182116
28,Longlegs,74346140,"2,850",74346140,Jul 12,Neon,false,2025-12-13T12:16:56.182116
29,Migration,73526925,"3,839",127630880,Dec 22,Universal Pictures,false,2025-12-13T12:16:56.182116
30,Mean Girls,72404248,"3,826",72581770,Jan 12,Paramount Pictures,false,2025-12-13T12:16:56.182116
31,Smile 2,68967012,"3,624",69012586,Oct 18,Paramount Pictures,false,2025-12-13T12:16:56.182116
32,Civil War,68603430,"3,929",68756072,Apr 12,A24,false,2025-12-13T12:16:56.182116
33,Furiosa: A Mad Max Saga,67475791,"3,864",67475791,May 24,Warner Bros.,false,2025-12-13T12:16:56.182116
34,The Beekeeper,66220535,"3,337",66220535,Jan 12,Metro-Goldwyn-Mayer (MGM),false,2025-12-13T12:16:56.182116
35,Anyone But You,63482283,"3,055",88319668,Dec 22,Columbia Pictures,false,2025-12-13T12:16:56.182116
36,Transformers One,59054170,"3,978",59098421,Sep 20,Paramount Pictures,false,2025-12-13T12:16:56.182116
37,Joker: Folie à Deux,58300287,"4,102",58300287,Oct 4,Warner Bros.,false,2025-12-13T12:16:56.182116
38,Terrifier 3,53799754,"2,762",53981071,Oct 11,Cineverse,false,2025-12-13T12:16:56.182116
39,Challengers,50119408,"3,477",50119408,Apr 26,Amazon MGM Studios,false,2025-12-13T12:16:56.182116
40,Nosferatu,48120015,"3,132",95608235,Dec 25,Focus Features,false,2025-12-13T12:16:56.182116
41,Aquaman and the Lost Kingdom,48011513,"3,787",124481226,Dec 22,Warner Bros.,false,2025-12-13T12:16:56.182116
42,Argylle,45207275,"3,647",45207275,Feb 2,Universal Pictures,false,2025-12-13T12:16:56.182116
43,Madame Web,43817106,"4,013",43817106,Feb 14,Columbia Pictures,false,2025-12-13T12:16:56.182116
44,Trap,42777281,"3,181",42777281,Aug 2,Warner Bros.,false,2025-12-13T12:16:56.182116
45,The Best Christmas Pageant Ever,39802723,"3,020",40048808,Nov 8,Lionsgate,false,2025-12-13T12:16:56.182116
46,Speak No Evil,36931420,"3,375",36931420,Sep 13,Universal Pictures,false,2025-12-13T12:16:56.182116
47,The Strangers: Chapter 1,35202562,"2,856",35202562,May 17,Lionsgate,false,2025-12-13T12:16:56.182116
48,Coraline15th Anniversary,33626425,"1,564",33626425,Aug 15,Fathom Events,false,2025-12-13T12:16:56.182116
49,Night Swim,32494740,"3,257",32494740,Jan 5,Universal Pictures,false,2025-12-13T12:16:56.182116
50,Conclave,31289705,"2,377",32580655,Oct 25,Focus Features,false,2025-12-13T12:16:56.182116
51,The Boys in the Boat,30642834,"2,687",52641306,Dec 25,Amazon MGM Studios,false,2025-12-13T12:16:56.182116
